DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;PercentTransmittance
DECIMALSYMBOL	 .
728.2286	 66.6222
728.6945	 66.6219
729.1605	 66.6223
729.6264	 66.6232
730.0923	 66.6241
730.5582	 66.6248
731.0241	 66.6250
731.4901	 66.6243
731.9560	 66.6225
732.4219	 66.6192
732.8878	 66.6143
733.3537	 66.6075
733.8196	 66.5988
734.2856	 66.5881
734.7515	 66.5754
735.2174	 66.5610
735.6833	 66.5448
736.1492	 66.5271
736.6151	 66.5083
737.0811	 66.4885
737.5470	 66.4683
738.0129	 66.4480
738.4788	 66.4279
738.9447	 66.4084
739.4106	 66.3900
739.8766	 66.3730
740.3425	 66.3576
740.8084	 66.3442
741.2743	 66.3329
741.7402	 66.3238
742.2061	 66.3170
742.6721	 66.3125
743.1380	 66.3101
743.6039	 66.3098
744.0698	 66.3112
744.5357	 66.3141
745.0017	 66.3181
745.4676	 66.3230
745.9335	 66.3283
746.3994	 66.3337
746.8653	 66.3388
747.3312	 66.3432
747.7972	 66.3468
748.2631	 66.3491
748.7290	 66.3501
749.1949	 66.3496
749.6608	 66.3474
750.1267	 66.3436
750.5927	 66.3383
751.0586	 66.3316
751.5245	 66.3235
751.9904	 66.3144
752.4563	 66.3045
752.9222	 66.2942
753.3882	 66.2836
753.8541	 66.2731
754.3200	 66.2630
754.7859	 66.2536
755.2518	 66.2451
755.7177	 66.2376
756.1837	 66.2314
756.6496	 66.2266
757.1155	 66.2230
757.5814	 66.2207
758.0473	 66.2195
758.5132	 66.2192
758.9792	 66.2196
759.4451	 66.2204
759.9110	 66.2212
760.3769	 66.2216
760.8428	 66.2213
761.3088	 66.2198
761.7747	 66.2168
762.2406	 66.2117
762.7065	 66.2044
763.1724	 66.1945
763.6383	 66.1816
764.1043	 66.1657
764.5702	 66.1466
765.0361	 66.1242
765.5020	 66.0984
765.9679	 66.0694
766.4338	 66.0373
766.8998	 66.0021
767.3657	 65.9642
767.8316	 65.9238
768.2975	 65.8812
768.7634	 65.8367
769.2293	 65.7905
769.6953	 65.7430
770.1612	 65.6944
770.6271	 65.6451
771.0930	 65.5952
771.5589	 65.5448
772.0248	 65.4942
772.4908	 65.4434
772.9567	 65.3924
773.4226	 65.3412
773.8885	 65.2897
774.3544	 65.2378
774.8204	 65.1853
775.2863	 65.1322
775.7522	 65.0781
776.2181	 65.0229
776.6840	 64.9665
777.1499	 64.9087
777.6159	 64.8493
778.0818	 64.7883
778.5477	 64.7256
779.0136	 64.6614
779.4795	 64.5955
779.9454	 64.5283
780.4114	 64.4599
780.8773	 64.3905
781.3432	 64.3206
781.8091	 64.2504
782.2750	 64.1804
782.7409	 64.1111
783.2069	 64.0429
783.6728	 63.9763
784.1387	 63.9117
784.6046	 63.8496
785.0705	 63.7905
785.5364	 63.7346
786.0024	 63.6824
786.4683	 63.6340
786.9342	 63.5897
787.4001	 63.5496
787.8660	 63.5137
788.3320	 63.4820
788.7979	 63.4543
789.2638	 63.4305
789.7297	 63.4104
790.1956	 63.3936
790.6615	 63.3798
791.1275	 63.3687
791.5934	 63.3599
792.0593	 63.3531
792.5252	 63.3477
792.9911	 63.3436
793.4570	 63.3404
793.9230	 63.3377
794.3889	 63.3354
794.8548	 63.3333
795.3207	 63.3313
795.7866	 63.3292
796.2525	 63.3270
796.7185	 63.3247
797.1844	 63.3224
797.6503	 63.3202
798.1162	 63.3182
798.5821	 63.3166
799.0480	 63.3154
799.5140	 63.3148
799.9799	 63.3150
800.4458	 63.3160
800.9117	 63.3181
801.3776	 63.3212
801.8436	 63.3253
802.3095	 63.3306
802.7754	 63.3370
803.2413	 63.3444
803.7072	 63.3528
804.1731	 63.3619
804.6391	 63.3718
805.1050	 63.3823
805.5709	 63.3931
806.0368	 63.4043
806.5027	 63.4157
806.9686	 63.4271
807.4346	 63.4386
807.9005	 63.4500
808.3664	 63.4615
808.8323	 63.4729
809.2982	 63.4845
809.7641	 63.4963
810.2301	 63.5085
810.6960	 63.5212
811.1619	 63.5347
811.6278	 63.5492
812.0937	 63.5649
812.5596	 63.5820
813.0256	 63.6006
813.4915	 63.6211
813.9574	 63.6434
814.4233	 63.6677
814.8892	 63.6940
815.3552	 63.7221
815.8211	 63.7520
816.2870	 63.7834
816.7529	 63.8161
817.2188	 63.8497
817.6847	 63.8837
818.1507	 63.9177
818.6166	 63.9510
819.0825	 63.9833
819.5484	 64.0137
820.0143	 64.0417
820.4802	 64.0666
820.9462	 64.0879
821.4121	 64.1051
821.8780	 64.1175
822.3439	 64.1248
822.8098	 64.1266
823.2757	 64.1227
823.7417	 64.1128
824.2076	 64.0969
824.6735	 64.0752
825.1394	 64.0477
825.6053	 64.0147
826.0712	 63.9766
826.5372	 63.9340
827.0031	 63.8874
827.4690	 63.8374
827.9349	 63.7848
828.4008	 63.7305
828.8668	 63.6751
829.3327	 63.6196
829.7986	 63.5648
830.2645	 63.5116
830.7304	 63.4606
831.1963	 63.4128
831.6623	 63.3687
832.1282	 63.3290
832.5941	 63.2943
833.0600	 63.2650
833.5259	 63.2415
833.9918	 63.2240
834.4578	 63.2127
834.9237	 63.2078
835.3896	 63.2092
835.8555	 63.2169
836.3214	 63.2306
836.7873	 63.2503
837.2533	 63.2757
837.7192	 63.3065
838.1851	 63.3423
838.6510	 63.3828
839.1169	 63.4276
839.5828	 63.4764
840.0488	 63.5287
840.5147	 63.5842
840.9806	 63.6425
841.4465	 63.7033
841.9124	 63.7661
842.3784	 63.8305
842.8443	 63.8963
843.3102	 63.9630
843.7761	 64.0304
844.2420	 64.0980
844.7079	 64.1655
845.1739	 64.2325
845.6398	 64.2987
846.1057	 64.3638
846.5716	 64.4275
847.0375	 64.4893
847.5034	 64.5489
847.9694	 64.6062
848.4353	 64.6607
848.9012	 64.7123
849.3671	 64.7606
849.8330	 64.8056
850.2989	 64.8472
850.7649	 64.8851
851.2308	 64.9194
851.6967	 64.9502
852.1626	 64.9774
852.6285	 65.0014
853.0944	 65.0222
853.5604	 65.0402
854.0263	 65.0557
854.4922	 65.0691
854.9581	 65.0808
855.4240	 65.0913
855.8900	 65.1011
856.3559	 65.1106
856.8218	 65.1204
857.2877	 65.1311
857.7536	 65.1430
